year,ac_no,ac_name,ac_type,cand_sex,partyname,totvotpoll,electors
2005.1,1,Dhanaha,GEN,M,Independent,440,120846
2005.1,1,Dhanaha,GEN,M,Communist Party of India (Marxist-Leninist) (Liberation),518,120846
2005.1,1,Dhanaha,GEN,M,Independent,638,120846
2005.1,1,Dhanaha,GEN,M,Independent,810,120846
2005.1,1,Dhanaha,GEN,M,Independent,941,120846
2005.1,1,Dhanaha,GEN,M,Lok Jan Shakti Party,1373,120846
2005.1,1,Dhanaha,GEN,M,National Loktantrik Party,1649,120846
2005.1,1,Dhanaha,GEN,M,Bahujan Samaj Party,4285,120846
2005.1,1,Dhanaha,GEN,M,Janata Dal (United),11839,120846
2005.1,1,Dhanaha,GEN,M,Samajwadi Party,17700,120846
2005.1,1,Dhanaha,GEN,M,Rashtriya Janata Dal,19164,120846
2005.1,2,Bagha,SC,M,Indian Justice Party,1041,237157
2005.1,2,Bagha,SC,M,Samajwadi Party,1094,237157
2005.1,2,Bagha,SC,M,Independent,1206,237157
2005.1,2,Bagha,SC,M,Independent,1280,237157
2005.1,2,Bagha,SC,M,Independent,1746,237157
2005.1,2,Bagha,SC,F,Communist Party of India (Marxist-Leninist) (Liberation),2211,237157
2005.1,2,Bagha,SC,M,Independent,2224,237157
2005.1,2,Bagha,SC,M,Lok Jan Shakti Party,2703,237157
2005.1,2,Bagha,SC,M,Bahujan Samaj Party,3202,237157
2005.1,2,Bagha,SC,M,Indian National Congress,42403,237157
2005.1,2,Bagha,SC,M,Janata Dal (United),60794,237157
2005.1,3,Ramnagar,GEN,M,Independent,667,200302
2005.1,3,Ramnagar,GEN,M,Independent,770,200302
2005.1,3,Ramnagar,GEN,M,Jai Jawan Jai Kisan Mazdoor Congress,865,200302
2005.1,3,Ramnagar,GEN,M,Samata Party,900,200302
2005.1,3,Ramnagar,GEN,M,Buddhiviveki Vikas Party,919,200302
2005.1,3,Ramnagar,GEN,M,Indian Justice Party,955,200302
2005.1,3,Ramnagar,GEN,M,Independent,1126,200302
2005.1,3,Ramnagar,GEN,F,Samajwadi Party,1515,200302
2005.1,3,Ramnagar,GEN,M,Independent,3487,200302
2005.1,3,Ramnagar,GEN,M,Lok Jan Shakti Party,5268,200302
2005.1,3,Ramnagar,GEN,M,Bahujan Samaj Party,10687,200302
2005.1,3,Ramnagar,GEN,M,Rashtriya Janata Dal,38228,200302
2005.1,3,Ramnagar,GEN,M,Bharatiya Janata Party,39147,200302
2005.1,4,Shikarpur,SC,M,Independent,960,203432
2005.1,4,Shikarpur,SC,M,Independent,1609,203432
2005.1,4,Shikarpur,SC,M,Independent,1661,203432
2005.1,4,Shikarpur,SC,M,Independent,1917,203432
2005.1,4,Shikarpur,SC,M,Bahujan Samaj Party,3015,203432
2005.1,4,Shikarpur,SC,M,Lok Jan Shakti Party,7914,203432
2005.1,4,Shikarpur,SC,M,Samajwadi Party,7922,203432
2005.1,4,Shikarpur,SC,M,Communist Party of India (Marxist-Leninist) (Liberation),8303,203432
2005.1,4,Shikarpur,SC,M,Nationalist Congress Party,29893,203432
2005.1,4,Shikarpur,SC,F,Bharatiya Janata Party,35147,203432
2005.1,5,Sikta,GEN,M,Independent,577,185625
2005.1,5,Sikta,GEN,M,Independent,877,185625
2005.1,5,Sikta,GEN,F,Indian Justice Party,937,185625
2005.1,5,Sikta,GEN,M,Independent,937,185625
2005.1,5,Sikta,GEN,M,Independent,1028,185625
2005.1,5,Sikta,GEN,M,Bahujan Samaj Party,1702,185625
2005.1,5,Sikta,GEN,M,Independent,1735,185625
2005.1,5,Sikta,GEN,M,Lok Jan Shakti Party,4032,185625
